video_id,video_title,channel,comment_text,comment_author,comment_likes,sentiment,polarity,themes,language_region
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,هذا الصراع يجب أن ينتهي - الناس يعانون,Youssef_Truth,2,negative,-0.1485,grief,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,إذا نطق أرعب، وإذا صمت أربك - فإن عاش فهو سيفًا، وإن قُتل فهو شهيدًا 🇵🇸,User199,3,positive,0.3963,martyrdom,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,اللهم احفظ لنا إخواننا في غزة,User104,8,neutral,-0.0187,neutral,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,May Allah protect him and all the people of Gaza 🤲,User154,2,positive,0.2112,leadership,English
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,يا ليت يضعون ترجمة للإنجليزية,Juan_España,10,neutral,-0.0092,neutral,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,الناس الشجعان الذين يعيشون المعاناة، يقاتلون ولكنهم يقاومون بشدة,User159,3,positive,0.2123,solidarity,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,أبو عبيدة رجل شجاع ومتحدث بليغ - الله يحفظه,User167,1,positive,0.2847,solidarity,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,Quelqu'un peut traduire en français?,Amina_Peace,3,neutral,-0.0032,neutral,English
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,شكرا على المشاركة,User15,3,neutral,0.0214,neutral,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,Libre Palestina! Solidaridad desde España 🇪🇸,User48,0,positive,0.2281,leadership,Spanish
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,شكرا على المشاركة,User96,1,neutral,-0.0285,neutral,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,إذا نطق أرعب، وإذا صمت أربك - فإن عاش فهو سيفًا، وإن قُتل فهو شهيدًا 🇵🇸,Fatima_Gaza,0,positive,0.4387,resistance,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,اللهم انصر اخواننا المستضعفين في فلسطين وفي كل بلاد المسلمين,User147,0,positive,0.2488,pride,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,أريد أن أعرف المزيد عن الوضع الحالي,User149,5,neutral,-0.0337,neutral,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,Quelqu'un peut traduire en français?,User21,0,neutral,-0.0084,neutral,English
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,Bu konuşma ne zaman yapıldı?,User19,0,neutral,-0.0404,neutral,English
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,في أمان الله يا أبو عبيدة,User91,10,neutral,0.0182,neutral,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,اللهم انصر اخواننا المستضعفين في فلسطين وفي كل بلاد المسلمين,User182,0,positive,0.4222,eloquence,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,متى سيتم نشر البيان القادم؟,User165,1,neutral,0.0233,neutral,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,متى سيتم نشر البيان القادم؟,User194,10,neutral,-0.0087,neutral,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,Watching from India 🇮🇳,User152,2,neutral,0.047,neutral,English
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,النصر بإذن الله - الله يثبتكم ويثبت أهل غزة يا رب,User175,8,positive,0.3199,hope,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,شكرا على المشاركة,User131,0,neutral,-0.0161,neutral,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,في أمان الله يا أبو عبيدة,User100,5,neutral,-0.0063,neutral,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,Allah'ın izniyle zafer bizimdir! Filistin'e destek Türkiye'den 🇹🇷,User102,2,positive,0.1637,leadership,Turkish
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,Voice of truth in a world of lies. Respect from France 🇫🇷,User57,1,positive,0.1811,pride,French
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,شكرا على المشاركة,User189,3,neutral,-0.0154,neutral,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,الحمد لله على نعمة الإسلام والمقاومة,User145,2,positive,0.2904,solidarity,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,Voice of truth in a world of lies. Respect from France 🇫🇷,Youssef_Truth,3,positive,0.4038,resistance,French
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,يا ليت يضعون ترجمة للإنجليزية,User183,2,neutral,-0.0397,neutral,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,في أمان الله يا أبو عبيدة,User52,3,neutral,0.0498,neutral,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,When was this speech recorded?,User161,10,neutral,-0.0138,neutral,English
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,Voice of truth in a world of lies. Respect from France 🇫🇷,User63,0,positive,0.3244,pride,French
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,إذا نطق أرعب، وإذا صمت أربك - فإن عاش فهو سيفًا، وإن قُتل فهو شهيدًا 🇵🇸,User122,1,positive,0.3319,hope,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,Does anyone have the full transcript?,User36,0,neutral,0.0356,neutral,English
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,اللهم احفظ لنا إخواننا في غزة,User184,8,neutral,0.0413,neutral,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,اللهم انصر اخواننا المستضعفين في فلسطين وفي كل بلاد المسلمين,Fatima_Gaza,0,positive,0.2983,admiration,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,Bu konuşma ne zaman yapıldı?,User92,0,neutral,0.048,neutral,English
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,انتم الشجعان اهل غزه الله يساعدكم وينصركم ويثبتكم يارب,User23,1,positive,0.2947,resistance,Arabic
64MdV8PJb2k,أبو عبيدة مهدّدًا: نبشّر نتنياهو أنكم ستجثون على ركبكم ولا يزال في جَعبتنا الكثير وغزة مقبرة للعدو,Al Jazeera Mubasher قناة الجزيرة مباشر,اللهم انصر اخواننا المستضعفين في فلسطين وفي كل بلاد المسلمين,User159,3,positive,0.2952,solidarity,Arabic
