keyword,frequency
مباشر,71
israel,63
غزة,63
palestine,51
gaza,50
الجزيرة,46
على,40
البث,35
news,33
الحدث,33
twitter,26
follow,23
instagram,23
war,23
hamas,23
video,22
facebook,21
فلسطين,21
قناة,21
المباشر,18
العربية,18
subscribe,17
shorts,17
الحي,17
channel,16
israeli,16
dhruv,16
rathee,16
srail,15
haber,15
course,14
youtube,13
لقناة,12
more,11
conflict,11
about,11
learn,11
app,11
palestinian,10
iran,10
chatgpt,10
how,10
com,10
palestinians,10
firstpost,10
live,10
اليوم,10
explained,9
tiktok,9
لمتابعة,9
